S.No,Title,PI,Co-PI,Project No.,Details (Splitup),Grant Received,Expenditure,Balance,Sanction value,Duration
1,Nirmaan Seed Funding,Prof.Satyanarayana Seshadri,Prof.Murugaiyan Amirthalingam,SB1920497ALUMCIEHOC,"- Mr.Lakshmi Narayanan's fund for Rs.10125851  
- Office of  Alumni & Corporate Relations for the project Nirmaan - Enabling Entrepreneurship for Rs.610874
- IITM ADMIN - (shankar endowment fund) Payment from endowment   interest accrual of Acsys investments private limited -Modernization of   CFI for Rs.32,85,554
- AI Healthcare amount transfer to Pratham team (AnalysticX =11,077/-
- Opto-Mag-Diagnostics =206485) for Rs.217562                                                                                                      
- scrap amount for Rs.81,000/-            
- IITM ADMIN - (shankar endowment fund) Payment from endowment   interest accrual of Acsys investments private limited Rs.5508753/-  
-AI Healthcare amount for Rs.468160.35 transfer to seed funding                                            
- scrap amount for Rs.24,000/-                                                                                                                  
-  Aptive fund balance amount transferred from LM23242567MEIITMMEHOLXX project for Rs.20,63,710 + Honororium for HFDC Fund for Rs.500000                                         
- scrap amount for Rs.66,000/-   ","22,951,464.35","19,770,441.00","3,181,023.35","3,00,25,000.00",01-Sep-2019  to 31 Aug -2026
2,Shankar Endownment Fund,Prof.Satyanarayana Seshadri,-,SB25260212CPALUMCIEHOC,"-IITM ADMIN - (shankar endowment fund) Payment from endowment   interest accrual of Acsys investments private limited -Modernization of   CFI for Rs.32,85,554                                                                                                     
-IITM ADMIN - (shankar endowment fund) Payment from endowment   interest accrual of Acsys investments private limited Rs.5508753/-              ","8,794,307.00","3,973,097.12","4,821,209.88","8,794,307.00",06 - May- 2025 to 05-May-2028
3,Nirmaan External,Prof.Satyanarayana Seshadri,"Prof.Murugaiyan Amirthalingam,
Dean Alumni and Corporate Relations",CR23241466CPAAAACIEHOC ,"""-Jakob Müller (India) Pvt. Ltd fund for Rs.5,50,000/- for sukoon Team                                                                                 
 -Indus Biotech Private Limited and Jakob Müller (India) Pvt. Ltd.fund for Rs.10,00,000/-  .                                                                                                           
- Aptiv Components India Private Limited fund for Rs.4,150,000+4,150,000.                                                                                                                             
 -World IP Day 2025 - sponsored by Mr Shankar=5,50,000                         
 -Aptiv Components India Private Limited fund for Rs.4,170,000                                     
-BMW Terchworks India Private Limited 12 lakhs""","15,660,000.00","10,349,622.00","5,310,378.00","10,350,000.00",21-Jul-2023 to 20-Jul-2026
4,AI for Healthcare,Prof.Satyanarayana Seshadri,-,SB21220983CPIITMCIEHOC,Harcharan Singh Initiative - AI for Healthcare,"9,211,875.00","3,608,059.35","5,603,815.65","1,50,00,000.00",12-May 2021 to 11-May-2026
5,UGFIR,Prof.Satyanarayana Seshadri,Prof.Murugaiyan Amirthalingam,SB20210439CPIITMCIEHOC,"IITM ADMIN - Deployment Towards Nirmaan: Experience Entrepreneurship For Rs.3,60,000 + Indus Biotech Private Limited for rs.10,00,000 + Gopal Krishna Pillai-Experience Entrepreneurship for Rs.10,00,000 +  Natesan Synchrocones Pvt Ltd for Rs.30,00,000 + Funds Received For Multiple Projects for Rs.1,40,000 + funds received for UGFIR  for Rs.16,70,267.47     ","5,859,393.47","5,712,914.00","146,479.47","1,16,00,000.00",07-Oct-2020 to 06-Oct-2025
6,PGFIR,Prof.Satyanarayana Seshadri,Prof.Murugaiyan Amirthalingam,SB1920720CPIITMCIEHOC,Endowment deployment: K. Ganesh and Meena Ganesh Fund for Entrepreneurship Development,"9,545,649.50","4,780,429.60","4,765,219.90","96,00,000.00",10-Dec-2019 to 09-Dec-2029
7,Nirmaan the Pre-Incubator,Prof.Prabhu Rajagopal,-,LM23242568MEIITMMEHOLX,"- Rs.10,00,000+ AMEX FUND:Training Support - 9,00,000                                           - PI Cost - 75,000(settled)
- Programmatic Costs + Contingency - 12,66,875 (Total for Rs.22,41,875)","3,241,875.00","75,000.00","3,166,875.00","50,00,000.00",15-Mar-2024 to 14-Mar-2029
8,Amex Program for Innovation & Entrepreneurship,Prof.Prabhu Rajagopal,-,CR/24-25/1670/ME/AMEX/008469,"1st Instalment Fund Received = 4,31,46,469     [ A) Total Program Costs 4,10,91,875 + B) Overheads 20,54,594                                                                                                                                                                                                                                                                                                                                                                                                                       Break-up [1) Nirmaan Teams - 52,50,000 (2) Training Support - 9,00,000 (3) PI Cost - 75,000 (4) Programmatic Costs + Contingency- 12,66,875 (5) IC - Early Bird Teams - 3,20,00,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         2nd instalment fund received =.3,15,00,000/-","74,646,469.00","43,146,469.00","31,500,000.00","43,146,469.00",14-Feb-2025 to 13-Feb-2028
